Name,Country,Region,Type,Last Known Eruption,Latitude,Longitude,Dominant Rock Type,Tectonic Setting
Larderello,Italy,Mediterranean and Western Asia,Explosion crater,1282,43.25,10.87,No Data,Subduction Zone / Continental Crust (>25 km)
Vulsini,Italy,Mediterranean and Western Asia,Caldera,-104,42.6,11.93,Trachyte / Trachydacite,Subduction Zone / Continental Crust (>25 km)
Campi Flegrei,Italy,Mediterranean and Western Asia,Caldera,1538,40.827,14.139000000000001,Trachyte / Trachydacite,Subduction Zone / Continental Crust (>25 km)
Vesuvius,Italy,Mediterranean and Western Asia,Stratovolcano,1944,40.821,14.425999999999998,Phono-tephrite /  Tephri-phonolite,Subduction Zone / Continental Crust (>25 km)
Ischia,Italy,Mediterranean and Western Asia,Complex,1302,40.73,13.897,Trachyte / Trachydacite,Subduction Zone / Continental Crust (>25 km)
Stromboli,Italy,Mediterranean and Western Asia,Stratovolcano,2016,38.789,15.213,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
Lipari,Italy,Mediterranean and Western Asia,Stratovolcano,1230,38.49,14.933,Rhyolite,Subduction Zone / Continental Crust (>25 km)
Vulcano,Italy,Mediterranean and Western Asia,Stratovolcano,1890,38.404,14.962,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
Etna,Italy,Mediterranean and Western Asia,Stratovolcano,2016,37.734,15.004000000000001,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
Campi Flegrei Mar Sicilia,Italy,Mediterranean and Western Asia,Submarine,1867,37.1,12.7,Trachybasalt / Tephrite Basanite,Rift Zone / Continental Crust (>25 km)
Pantelleria,Italy,Mediterranean and Western Asia,Shield,1891,36.77,12.02,Rhyolite,Rift Zone / Continental Crust (>25 km)
Methana,Greece,Mediterranean and Western Asia,Lava dome,-258,37.615,23.336,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Milos,Greece,Mediterranean and Western Asia,Stratovolcano,140,36.699,24.439,Rhyolite,Subduction Zone / Continental Crust (>25 km)
Santorini,Greece,Mediterranean and Western Asia,Shield,1950,36.404,25.396,Dacite,Subduction Zone / Continental Crust (>25 km)
Nisyros,Greece,Mediterranean and Western Asia,Stratovolcano,1888,36.586,27.16,Dacite,Subduction Zone / Continental Crust (>25 km)
Nemrut Dagi,Turkey,Mediterranean and Western Asia,Stratovolcano,1650,38.654,42.229,Rhyolite,Intraplate / Continental Crust (>25 km)
Tenduruk Dagi,Turkey,Mediterranean and Western Asia,Shield,1855,39.356,43.873999999999995,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
Ararat,Turkey,Mediterranean and Western Asia,Stratovolcano,1840,39.7,44.3,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km)
Elbrus,Russia,Mediterranean and Western Asia,Stratovolcano,50,43.351000000000006,42.442,Dacite,Intraplate / Continental Crust (>25 km)
Kazbek,Georgia,Mediterranean and Western Asia,Stratovolcano,-750,42.7,44.5,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km)
Porak,Armenia-Azerbaijan,Mediterranean and Western Asia,Stratovolcano,-778,40.028,45.74,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km)
"Tair, Jebel at",Yemen,Africa and Red Sea,Stratovolcano,2008,15.55,41.83,Trachybasalt / Tephrite Basanite,Rift Zone / Oceanic Crust (< 15 km)
Zubair Group,Yemen,Africa and Red Sea,Shield,2013,15.05,42.18,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Dallol,Ethiopia,Africa and Red Sea,Explosion crater,2011,14.242,40.3,No Data,Rift Zone / Intermediate Crust (15-25 km)
Alu-Dalafilla,Ethiopia,Africa and Red Sea,Fissure vent,2008,13.793,40.553000000000004,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
Erta Ale,Ethiopia,Africa and Red Sea,Shield,2016,13.6,40.67,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
Dubbi,Eritrea,Africa and Red Sea,Stratovolcano,1861,13.579,41.809,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
Nabro,Eritrea,Africa and Red Sea,Stratovolcano,2012,13.37,41.7,Trachyte / Trachydacite,Rift Zone / Intermediate Crust (15-25 km)
Alayta,Ethiopia,Africa and Red Sea,Shield,1915,12.888,40.573,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
Dabbahu,Ethiopia,Africa and Red Sea,Stratovolcano,2005,12.595,40.48,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
Manda Hararo,Ethiopia,Africa and Red Sea,Shield,2009,12.17,40.82,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
Manda-Inakir,Ethiopia-Djibouti,Africa and Red Sea,Fissure vent,1928,12.38,42.2,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
Ardoukoba,Djibouti,Africa and Red Sea,Fissure vent,1978,11.58,42.47,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
Dama Ali,Ethiopia,Africa and Red Sea,Shield,1631,11.28,41.63,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
Fentale,Ethiopia,Africa and Red Sea,Stratovolcano,1820,8.975,39.93,Rhyolite,Rift Zone / Continental Crust (>25 km)
Kone,Ethiopia,Africa and Red Sea,Caldera,1820,8.8,39.692,Rhyolite,Rift Zone / Continental Crust (>25 km)
Tullu Moje,Ethiopia,Africa and Red Sea,Pyroclastic cone,1900,8.158999999999999,39.137,Rhyolite,Rift Zone / Continental Crust (>25 km)
Alutu,Ethiopia,Africa and Red Sea,Stratovolcano,-50,7.77,38.78,Rhyolite,Rift Zone / Continental Crust (>25 km)
South Island,Kenya,Africa and Red Sea,Stratovolcano,1888,2.63,36.6,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km)
"Barrier, The",Kenya,Africa and Red Sea,Shield,1921,2.32,36.57,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km)
Emuruangogolak,Kenya,Africa and Red Sea,Shield,1910,1.5,36.33,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km)
Olkaria,Kenya,Africa and Red Sea,Pyroclastic cone,1770,-0.904,36.292,Rhyolite,Rift Zone / Continental Crust (>25 km)
Longonot,Kenya,Africa and Red Sea,Stratovolcano,1863,-0.914,36.446,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km)
"Lengai, Ol Doinyo",Tanzania,Africa and Red Sea,Stratovolcano,2013,-2.764,35.914,Foidite,Rift Zone / Continental Crust (>25 km)
Chyulu Hills,Kenya,Africa and Red Sea,Volcanic field,1855,-2.68,37.88,Trachybasalt / Tephrite Basanite,Rift Zone / Continental Crust (>25 km)
Meru,Tanzania,Africa and Red Sea,Stratovolcano,1910,-3.25,36.75,Phonolite,Rift Zone / Continental Crust (>25 km)
Ngozi,Tanzania,Africa and Red Sea,Caldera,1450,-8.988999999999999,33.554,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km)
Rungwe,Tanzania,Africa and Red Sea,Stratovolcano,1250,-9.135,33.668,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km)
Kyejo,Tanzania,Africa and Red Sea,Stratovolcano,1800,-9.229,33.792,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km)
Nyamuragira,DR Congo,Africa and Red Sea,Shield,2015,-1.4080000000000001,29.2,Trachybasalt / Tephrite Basanite,Rift Zone / Continental Crust (>25 km)
Nyiragongo,DR Congo,Africa and Red Sea,Stratovolcano,2016,-1.52,29.25,Foidite,Rift Zone / Continental Crust (>25 km)
Visoke,DR Congo-Rwanda,Africa and Red Sea,Stratovolcano,1957,-1.4580000000000002,29.485,Trachyandesite / Basaltic Trachyandesite,Rift Zone / Continental Crust (>25 km)
Santa Isabel,Equatorial Guinea,Africa and Red Sea,Shield,1923,3.58,8.75,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
Cameroon,Cameroon,Africa and Red Sea,Stratovolcano,2000,4.203,9.17,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km)
Bayuda Volcanic Field,Sudan,Africa and Red Sea,Pyroclastic cone,850,18.33,32.75,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km)
Unnamed,Syria,Middle East and Indian Ocean,Volcanic field,1222,36.67,37.0,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km)
Harrat Ash Shamah,Syria-Jordan-Saudi Arabia,Middle East and Indian Ocean,Volcanic field,1850,32.333,37.583,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
"Uwayrid, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,640,27.08,37.25,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
"Lunayyir, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,1000,25.17,37.75,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
"Khaybar, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,650,25.0,39.92,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
"Rahat, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,1256,23.08,39.78,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
"Yar, Jabal",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,1810,17.05,42.83,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
"Arhab, Harra of",Yemen,Middle East and Indian Ocean,Volcanic field,500,15.63,44.08,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km)
"Dhamar, Harras of",Yemen,Middle East and Indian Ocean,Volcanic field,1937,14.57,44.67,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
"Sawad, Harra Es-",Yemen,Middle East and Indian Ocean,Volcanic field,1253,13.58,46.12,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km)
Karthala,Comoros,Middle East and Indian Ocean,Shield,2007,-11.75,43.38,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
"Fournaise, Piton de la",France,Middle East and Indian Ocean,Shield,2016,-21.244,55.708,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
